class,module,npm_install,jelly_exit,seconds,note,packages,modules,functions,code_size_main_kb,dependencies_kb,edges_fun2fun,edges_call2fun,calls_zero_or_one_pct,calls_multiple_pct,calls_native_external_pct,calls_total,funcs_zero_callers_pct,funcs_reachable_pct,jelly_time_ms,jelly_memory_mb,errors,warnings,oom,unresolved_module_warnings
prototype-pollution,101_1.0.0,ok,0,0.45,,3,6,40,1,15,54,74,54.4,0.0,45.6,182,22.5,65.0,101,37,0,16,False,0
prototype-pollution,algoliasearch-helper_3.6.0,ok,0,0.63,,2,23,312,1,160,239,260,74.4,0.38,25.22,793,50.64,5.45,275,73,0,63,False,0
prototype-pollution,arr-flatten-unflatten_1.1.4,ok,0,0.41,,2,5,4,1,2,3,3,15.0,0.0,85.0,20,25.0,50.0,60,36,0,3,False,0
prototype-pollution,asciitable.js_1.0.2,ok,0,0.42,,2,2,9,1,6,10,16,46.67,0.0,53.33,45,0.0,100.0,64,38,0,10,False,0
prototype-pollution,assign-deep_1.0.0,ok,0,0.41,,3,3,6,1,2,7,9,52.17,0.0,47.83,23,0.0,100.0,54,35,0,2,False,0
prototype-pollution,aurelia-path_1.1.0,skip,skip,0,no .test.js file found (malformed case dir),,,,,,,,,,,,,,,,,,,
prototype-pollution,aurelia-path_1.1.7,ok,0,0.43,,2,2,12,1,6,12,16,50.7,4.23,45.07,71,25.0,50.0,73,35,0,7,False,0
prototype-pollution,aws-sdk-shared-ini-file-loader_1.0.0-rc.8,ok,0,0.41,,2,2,11,1,11,11,15,54.05,0.0,45.95,37,0.0,100.0,60,37,0,4,False,0
prototype-pollution,bmoor_0.8.11,ok,0,0.55,,3,21,146,1,39,128,144,59.17,3.55,37.28,338,42.47,6.85,192,50,0,51,False,0
prototype-pollution,bodymen_1.0.0,ok,0,2.62,,4,7,776,1,561,10335,15360,63.52,19.54,16.94,2042,26.29,59.15,2233,316,0,176,False,0
prototype-pollution,brikcss-merge_1.3.0,ok,0,0.43,,2,2,13,1,2,24,30,63.46,0.0,36.54,52,0.0,53.85,62,38,0,10,False,0
prototype-pollution,cached-path-relative_1.0.1,ok,0,0.39,,2,2,2,1,1,2,2,36.36,0.0,63.64,11,0.0,100.0,41,32,0,6,False,0
prototype-pollution,changeset_0.1.0,ok,0,0.55,,4,4,182,1,48,205,278,62.79,5.23,31.98,344,40.11,43.41,183,56,0,44,False,0
prototype-pollution,class-transformer_0.1.1,ok,0,0.48,,2,10,99,1,31,97,98,67.66,0.0,32.34,167,27.27,56.57,127,52,0,7,False,0
prototype-pollution,component-flatten_1.0.1,ok,0,0.51,,3,3,85,1,31,133,177,55.07,12.33,32.6,227,22.35,23.53,145,59,0,4,False,0
prototype-pollution,confinit_0.3.0,ok,0,0.59,,7,11,144,1,57,169,231,46.01,0.0,53.99,589,19.44,10.42,228,71,0,97,False,1
prototype-pollution,confucious_0.0.12,ok,0,0.67,,19,25,303,1,83,370,461,58.56,0.1,41.34,970,16.17,6.6,303,72,0,142,False,0
prototype-pollution,connie_0.1.0,ok,0,1.62,,53,106,961,1,307,5220,7931,58.76,12.52,28.72,2493,18.42,62.85,1234,229,0,122,False,0
prototype-pollution,controlled-merge_1.0.0,ok,0,0.40,,2,2,4,1,2,4,4,50.0,0.0,50.0,18,25.0,50.0,47,33,0,0,False,0
prototype-pollution,convict_6.0.0,ok,0,0.65,,6,7,249,1,101,331,424,50.84,1.35,47.81,891,13.65,75.9,285,69,0,141,False,0
