class,module,npm_install,jelly_exit,seconds,note
prototype-pollution,101_1.0.0,ok,0,0.45,
prototype-pollution,algoliasearch-helper_3.6.0,ok,0,0.63,
prototype-pollution,arr-flatten-unflatten_1.1.4,ok,0,0.41,
prototype-pollution,asciitable.js_1.0.2,ok,0,0.42,
prototype-pollution,assign-deep_1.0.0,ok,0,0.41,
prototype-pollution,aurelia-path_1.1.0,skip,skip,0,no .test.js file found (malformed case dir)
prototype-pollution,aurelia-path_1.1.7,ok,0,0.43,
prototype-pollution,aws-sdk-shared-ini-file-loader_1.0.0-rc.8,ok,0,0.41,
prototype-pollution,bmoor_0.8.11,ok,0,0.55,
prototype-pollution,bodymen_1.0.0,ok,0,2.62,
prototype-pollution,brikcss-merge_1.3.0,ok,0,0.43,
prototype-pollution,cached-path-relative_1.0.1,ok,0,0.39,
prototype-pollution,changeset_0.1.0,ok,0,0.55,
prototype-pollution,class-transformer_0.1.1,ok,0,0.48,
prototype-pollution,component-flatten_1.0.1,ok,0,0.51,
prototype-pollution,confinit_0.3.0,ok,0,0.59,
prototype-pollution,confucious_0.0.12,ok,0,0.67,
prototype-pollution,connie_0.1.0,ok,0,1.62,
prototype-pollution,controlled-merge_1.0.0,ok,0,0.40,
prototype-pollution,convict_6.0.0,ok,0,0.65,
prototype-pollution,cookiex-deep_0.0.6,ok,0,0.44,
prototype-pollution,copy-props_2.0.4,ok,0,0.46,
prototype-pollution,deap_1.0.0,ok,0,0.42,
prototype-pollution,decal_2.0.0,ok,0,0.93,
prototype-pollution,decal_2.1.3,ok,0,0.91,
prototype-pollution,deep-defaults_1.0.5,ok,0,2.25,
prototype-pollution,deep-extend_0.5.0,ok,0,0.40,
prototype-pollution,deep-get-set_1.1.0,ok,0,0.39,
prototype-pollution,deephas_1.0.5,ok,0,0.40,
prototype-pollution,deeply_3.0.0,ok,0,0.44,
prototype-pollution,deepmergefn_1.1.0,ok,0,0.38,
prototype-pollution,deep-override_1.0.0,ok,0,0.40,
prototype-pollution,deepref_1.1.1,ok,0,0.41,
prototype-pollution,deeps_1.4.5,ok,0,0.43,
prototype-pollution,deep-set_1.0.0,ok,0,0.41,
prototype-pollution,defaults-deep_0.2.0,ok,0,0.41,
prototype-pollution,defaults-deep_0.2.4,ok,0,0.40,
prototype-pollution,doc-path_2.0.0,ok,0,0.40,
prototype-pollution,dot-notes_3.2.0,ok,0,0.44,
prototype-pollution,dot-object_2.1.2,ok,0,0.44,
prototype-pollution,dot-prop_2.0.0,ok,0,0.39,
prototype-pollution,dotty_0.0.1,ok,0,0.40,
prototype-pollution,dset_1.0.0,ok,0,0.39,
prototype-pollution,eivifj-dot_1.0.2,ok,0,0.39,
prototype-pollution,eivindfjeldstad-dot_0.0.1,ok,0,0.39,
prototype-pollution,expand-hash_1.0.1,ok,0,0.40,
prototype-pollution,extend_3.0.1,ok,0,0.40,
prototype-pollution,extend-merge_1.0.5,ok,0,0.40,
prototype-pollution,fabiocaccamo-utils.js_0.17.0,ok,0,0.64,
prototype-pollution,fast-json-patch_2.0.4,ok,0,0.64,
prototype-pollution,field_1.0.1,ok,0,0.40,
prototype-pollution,firebase-util_0.3.2,ok,0,0.55,
prototype-pollution,firebase-util_0.3.3-canary.c47ba31d0,ok,0,0.56,
prototype-pollution,flat_5.0.0,ok,0,0.42,
prototype-pollution,flattenizer_0.0.5,ok,0,0.41,
prototype-pollution,flat-wrap_1.0.2,ok,0,0.42,
prototype-pollution,fluentui-styles_0.47.15,ok,0,0.86,
prototype-pollution,gammautils_0.0.81,ok,0,0.61,
prototype-pollution,gedi_1.6.3,ok,0,0.75,
prototype-pollution,getobject_0.1.0,ok,0,0.40,
prototype-pollution,getsetdeep_4.15.0,ok,0,0.43,
prototype-pollution,grunt-util-property_0.0.2,ok,0,2.98,
prototype-pollution,hoek_5.0.0,ok,0,0.48,
